#Bandwidth	Vehicle Utilization	Number Initial Setup Jobs		Job Rate	Job Processing Time		Cars Arrived	Cars Departed	Jobs Completed	Jobs Failed	Jobs Total	VM Migrations Successful	VM Migrations Failed	VM Migrations Total	Avg Job Completion Time	MTTF	avg success VM Migration Time	avg jobs in initial setup	avg jobs in parking lot	avg jobs in job queue	avg cars in parking lot	Time Processing	Time Initializing	Time Backup	Time Finalization	Time VM
7500	80	100	30	0.35	120	Results	100789	53864.6	15057.6	0	15057.6	0	0	0	316.5574	0	0	100.3348	482.248	6482.424	2558.556	120	64.1845	67.27344	65.0993	0
7500	80	100	30	0.35	150	Results	100789	53864.6	14834.8	0	14834.8	0	0	0	351.035	0	0	100.2322	527.8932	6571.648	2558.556	150	64.85088	70.46678	65.71736	0
7500	80	100	30	0.35	180	Results	100789	53864.6	14609.6	0	14609.6	0	0	0	385.7762	0	0	100.1292	571.9924	6639.614	2558.556	180	65.56864	73.74054	66.46684	0
7500	80	100	30	0.35	210	Results	100789	53864.6	14498.4	0	14498.4	0	0	0	417.3256	0	0	100.04	615.0314	6666.152	2558.556	210	65.77216	75.14122	66.41224	0
7500	80	100	30	0.35	240	Results	100789	53864.6	14300.8	2.2	14303	0	0	0	450.6692	726.72	0	99.93744	655.9766	6745.676	2558.556	240.0538	66.43474	77.22938	66.85892	0
7500	80	100	30	0.35	270	Results	100789	53864.6	14193	0.8	14193.8	0.2	0	0.2	481.4548	437.1	0	99.83858	696.5692	6762.456	2558.556	270.0246	66.56998	77.95624	66.87588	0
7500	80	100	30	0.35	300	Results	100789	53864.6	14081.6	9.6	14091.2	1.4	0	1.4	513.2396	1006.342	0.2	99.70932	736.9554	6805.996	2558.556	300.2844	66.92494	78.57212	67.18566	4.28418E-05


7500	80	100	30	0.4	60	Results	100789	53864.6	15556.8	0	15556.8	0	0	0	244.4414	0	0	100.4666	383.9498	4529.372	2558.556	60	62.58098	58.51292	63.34732	0
7500	80	100	30	0.4	90	Results	100789	53864.6	15273.8	0	15273.8	0	0	0	280.8708	0	0	100.3654	433.6274	4638.624	2558.556	90	63.45418	63.1755	64.24122	0
7500	80	100	30	0.4	120	Results	100789	53864.6	15055.8	0	15055.8	0	0	0	316.6034	0	0	100.2418	482.4622	4728.708	2558.556	120	64.10314	67.38666	65.1136	0
7500	80	100	30	0.4	150	Results	100789	53864.6	14826.2	0	14826.2	0	0	0	351.1236	0	0	100.1124	527.6512	4794.646	2558.556	150	64.7863	70.6601	65.6772	0
7500	80	100	30	0.4	180	Results	100789	53864.6	14636.8	0	14636.8	0	0	0	385.1326	0	0	100.00922	571.998	4866.822	2558.556	180	65.3756	73.44542	66.31164	0
7500	80	100	30	0.4	210	Results	100789	53864.6	14456.4	0	14456.4	0	0	0	417.8242	0	0	99.91022	613.808	4929.754	2558.556	210	65.88886	75.14	66.79518	0
7500	80	100	30	0.4	240	Results	100789	53864.6	14328.2	0.2	14328.4	0	0	0	449.51	152.6	0	99.80342	655.666	4948.884	2558.556	240.0034	66.17828	76.5961	66.73236	0
7500	80	100	30	0.4	270	Results	100789	53864.6	14184.8	2.4	14187.2	0.4	0	0.4	480.4406	572.1086	0	99.69442	694.4984	4999.946	2558.556	270.0568	66.62016	76.86754	66.83062	0
7500	80	100	30	0.4	300	Results	100789	53864.6	14041.2	4.8	14046	0.8	0	0.8	512.8042	981.1694	0	99.5743	735.2832	5053.974	2558.556	300.1462	66.98042	78.08086	67.45076	0


7500	80	100	30	0.45	60	Results	100789	53864.6	15577	0	15577	0	0	0	244.2738	0	0	100.2858	383.966	3101.254	2558.556	60	62.429	58.76776	63.07688	0
7500	80	100	30	0.45	90	Results	100789	53864.6	15258	0	15258	0	0	0	281.4454	0	0	100.1988	433.9274	3235.592	2558.556	90	63.44508	63.66786	64.33232	0
7500	80	100	30	0.45	120	Results	100789	53864.6	15043.2	0	15043.2	0	0	0	316.229	0	0	100.08158	481.2486	3313.928	2558.556	120	64.0908	67.0189	65.11936	0
7500	80	100	30	0.45	150	Results	100789	53864.6	14818.8	0	14818.8	0	0	0	350.9128	0	0	99.97352	526.7404	3400.644	2558.556	150	64.78616	70.4936	65.63288	0
7500	80	100	30	0.45	180	Results	100789	53864.6	14606.4	0	14606.4	0	0	0	385.2508	0	0	99.87172	571.0784	3474.608	2558.556	180	65.41644	73.37296	66.46126	0
7500	80	100	30	0.45	210	Results	100789	53864.6	14418.2	0	14418.2	0	0	0	418.0902	0	0	99.7581	612.915	3533.538	2558.556	210	65.92796	75.32858	66.83356	0
7500	80	100	30	0.45	240	Results	100789	53864.6	14283	0.4	14283.4	0	0	0	450.2198	192.4	0	99.64458	654.684	3572.586	2558.556	240.0102	66.28526	76.80284	67.11042	0
7500	80	100	30	0.45	270	Results	100789	53864.6	14179.2	1.2	14180.4	0	0	0	480.6952	361.75	0	99.54534	694.6102	3608.808	2558.556	270.0342	66.5117	77.15996	66.9593	0
7500	80	100	30	0.45	300	Results	100789	53864.6	14043	4.4	14047.4	0.2	0	0.2	511.394	648.738	0	99.41816	733.1096	3646.126	2558.556	300.1336	66.85318	77.11464	67.1449	0


7500	80	100	30	0.5	60	Results	100789	53864.6	15579.6	0	15579.6	0	0	0	243.8122	0	0	100.06978	383.5142	2009.744	2558.556	60	62.2352	58.51254	63.06426	0
7500	80	100	30	0.5	90	Results	100789	53864.6	15257.8	0	15257.8	0	0	0	280.8826	0	0	99.98824	433.1982	2131.358	2558.556	90	63.2996	63.29844	64.28426	0
7500	80	100	30	0.5	120	Results	100789	53864.6	15030	0	15030	0	0	0	316.1142	0	0	99.91384	480.6802	2224.558	2558.556	120	64.03404	67.07196	65.00842	0
7500	80	100	30	0.5	150	Results	100789	53864.6	14770.4	0	14770.4	0	0	0	350.8492	0	0	99.79232	525.18	2323.2	2558.556	150	64.8432	70.2579	65.74818	0
7500	80	100	30	0.5	180	Results	100789	53864.6	14567.2	0	14567.2	0	0	0	385.0776	0	0	99.70946	569.4504	2404.322	2558.556	180	65.46196	73.24634	66.3694	0
7500	80	100	30	0.5	210	Results	100789	53864.6	14419.4	0	14419.4	0	0	0	416.8594	0	0	99.57598	611.2964	2438.198	2558.556	210	65.80344	74.48174	66.57426	0
7500	80	100	30	0.5	240	Results	100789	53864.6	14253.4	0.2	14253.6	0	0	0	449.4256	154.8	0	99.47084	652.0936	2499.996	2558.556	240.0034	66.2703	76.38908	66.7629	0
7500	80	100	30	0.5	270	Results	100789	53864.6	14131	3.2	14134.2	0.2	0	0.2	481.6212	785.576	0.2	99.36702	693.316	2540.848	2558.556	270.074	66.64718	77.65866	67.14042	1.41413E-05
7500	80	100	30	0.5	300	Results	100789	53864.6	14024.2	7	14031.2	4.4	0.2	4.6	511.8574	1020.5086	0.09	99.20932	732.7372	2551.816	2558.556	300.2038	66.75272	77.54858	67.16248	0.000143688


7500	80	100	30	0.52	60	Results	100789	53864.6	15562.4	0	15562.4	0	0	0	243.6892	0	0	99.93782	382.7514	1653.274	2558.556	60	62.24316	58.52554	62.92072	0
7500	80	100	30	0.52	90	Results	100789	53864.6	15240.4	0	15240.4	0	0	0	280.3712	0	0	99.86732	431.797	1787.148	2558.556	90	63.30036	62.96108	64.1096	0
7500	80	100	30	0.52	120	Results	100789	53864.6	15010.6	0	15010.6	0	0	0	315.753	0	0	99.76582	479.6876	1870.1	2558.556	120	64.01736	67.00678	64.72892	0
7500	80	100	30	0.52	150	Results	100789	53864.6	14753.8	0	14753.8	0	0	0	351.4488	0	0	99.65348	525.6622	1962.684	2558.556	150	64.7798	70.87244	65.79672	0
7500	80	100	30	0.52	180	Results	100789	53864.6	14583	0	14583	0	0	0	384.3016	0	0	99.59606	568.7868	2015.276	2558.556	180	65.3182	72.86878	66.11448	0
7500	80	100	30	0.52	210	Results	100789	53864.6	14401.2	0	14401.2	0	0	0	416.928	0	0	99.4572	610.1326	2081.924	2558.556	210	65.84382	74.68572	66.3983	0
7500	80	100	30	0.52	240	Results	100789	53864.6	14252.8	0	14252.8	0	0	0	448.271	0	0	99.35274	650.7272	2138.878	2558.556	240	66.21826	75.484	66.56864	0
7500	80	100	30	0.52	270	Results	100789	53864.6	14122.6	2	14124.6	0	0	0	480.4376	599.2	0	99.27354	691.7278	2162.646	2558.556	270.0458	66.5809	76.91222	66.85712	0
7500	80	100	30	0.52	300	Results	100789	53864.6	14024.6	9.4	14034	1.4	0	1.4	511.9908	823.0914	0.5	99.12122	732.9418	2186.304	2558.556	300.2822	66.72114	77.5187	67.19992	8.57838E-05


7500	80	100	30	0.54	60	Results	100789	53864.6	15537.8	0	15537.8	0	0	0	243.7522	0	0	99.77756	382.2052	1317.788	2558.556	60	62.25316	58.52588	62.97306	0
7500	80	100	30	0.54	90	Results	100789	53864.6	15232.2	0	15232.2	0	0	0	280.6648	0	0	99.67082	432.0764	1429.618	2558.556	90	63.1999	63.25796	64.2069	0
7500	80	100	30	0.54	120	Results	100789	53864.6	14994	0	14994	0	0	0	315.796	0	0	99.58878	479.113	1521.706	2558.556	120	63.93288	66.85192	65.01126	0
7500	80	100	30	0.54	150	Results	100789	53864.6	14770.8	0	14770.8	0	0	0	350.9156	0	0	99.49196	525.2874	1591.732	2558.556	150	64.6257	70.54426	65.74596	0
7500	80	100	30	0.54	180	Results	100789	53864.6	14572.4	0	14572.4	0	0	0	384.2872	0	0	99.40646	568.3004	1676.68	2558.556	180	65.25052	72.91854	66.11818	0
7500	80	100	30	0.54	210	Results	100789	53864.6	14406.4	0	14406.4	0	0	0	417.1634	0	0	99.3279	610.8966	1724.816	2558.556	210	65.73544	74.95908	66.46856	0
7500	80	100	30	0.54	240	Results	100789	53864.6	14245.8	0.4	14246.2	0	0	0	449.5614	233.8	0	99.20004	651.7864	1774.784	2558.556	240.01	66.16398	76.34858	67.02082	0
